,Variable 0,Variable 1,Variable 2,Sujeto,Año
0,-0.07703619,1.9391026,0.52683234,3000,0
1,0.38734442,0.42278558,0.36864007,3001,0
2,0.5001755,0.08305312,0.63576347,3001,1
3,1.2151049,0.117825925,0.7922071,3001,2
4,0.94332385,-0.3124154,0.8522079,3001,3
5,0.71661615,0.4601475,0.42400137,3001,4
6,-0.77643573,0.5208949,0.4996638,3002,0
7,0.31465426,-1.0614886,0.3173891,3002,1
8,-0.4878702,-0.72939444,0.67470217,3002,2
9,-1.0891523,0.48667952,0.41493908,3002,3
10,-0.13978547,-0.529186,0.93212306,3002,4
11,0.22006343,-0.1982871,0.62544143,3003,1
12,-0.93315464,2.3970165,0.6519791,3003,2
13,-0.91953576,2.3750303,0.6785342,3003,3
14,-0.07291561,1.1873531,-0.086991325,3004,0
15,1.2925888,-0.07817423,0.9077295,3006,1
16,-0.029134415,0.39459318,0.1033795,3008,0
17,0.5031466,2.0556085,0.037173904,3009,0
18,-0.4756506,0.7321244,0.27271527,3010,0
19,-0.4241617,0.24840944,0.20917585,3010,1
20,-0.5125229,0.46230233,0.324281,3010,2
21,-0.08920319,0.71018773,0.72853774,3010,4
22,-0.4306395,-0.17559241,0.610339,3011,0
23,0.26459867,0.5004581,0.64523894,3012,0
24,0.56139964,0.18714924,0.8778268,3012,1
25,0.19981486,0.52974945,0.97679055,3012,2
26,1.0695622,-0.921753,1.0672512,3012,4
27,-0.86059654,0.56682503,1.2581652,3013,0
28,-0.18144332,1.2337396,0.6330261,3014,0
29,0.5525378,0.84282124,0.53770983,3014,1
30,-0.21965584,1.3547695,0.47322965,3014,2
31,-0.9229498,0.46169186,0.656803,3016,0
32,0.51425815,-0.24230252,0.8871462,3018,0
33,0.34826612,-0.025491666,1.004633,3018,1
34,0.64258766,-0.074290305,1.3766806,3018,2
35,0.60079455,0.8613012,0.27346858,3020,0
36,1.3024933,0.93442345,0.3155929,3020,1
37,0.97739923,1.0089352,0.036759064,3020,2
38,1.2254275,0.6001189,0.60451424,3020,4
39,0.72793376,-0.17907548,1.0309849,3021,0
40,0.85404676,-0.15348196,1.4932084,3021,1
41,0.7755619,-0.50621337,1.4802665,3021,2
42,0.028338328,0.43745515,0.26851788,3022,0
43,1.1955947,0.77289563,0.6586089,3023,0
44,0.9621023,1.0083264,0.45462164,3023,1
45,0.8189378,1.1422405,0.5798397,3023,2
46,0.62829417,1.0064926,0.4036516,3024,0
47,0.7120151,0.88038456,0.06120204,3024,1
48,-0.21707135,-0.31620133,-0.08635652,3025,0
49,1.3544992,1.6717541,0.93001497,3026,0
50,-0.1922082,0.80999243,0.3499598,3027,0
51,0.34774876,1.0232631,0.68337834,3027,1
52,0.26525098,-0.59097844,1.2385378,3027,2
53,-0.17458047,-0.55923164,0.3081963,3028,0
54,-0.33589375,-0.36653847,0.13816291,3028,1
55,-0.20845892,-0.59936714,-0.0016892441,3028,2
